log_filename,agent_name,Fit_function,xranges,x0,LL,x,y,z,LL_grid
log/01.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.05,9.27,0.24",135.51593716922648,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","233.95,242.83,275.15,496.66,522.72,624.65,647.85,691.54,847.33,318.09,
 322.77,341.54,681.43,698.28,755.88,842.3 ,864.09,943.5 ,390.31,391.8 ,
 403.71,780.8 ,787.58,825.75,896.55,912.45,975.34,467.41,468.16,476.99,
 762.99,771.76,802.82,817.81,837.61,881.24"
log/02.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.64,2.02,0.  ",253.45004713243057,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 536.53, 529.41, 532.23,1033.44,1019.02,1017.32,1184.88,1182.53,1163.7 ,
  542.74, 539.71, 548.81, 988.76, 985.35,1013.64,1117.92,1113.09,1141.68,
  566.73, 566.82, 580.67, 957.95, 965.24,1017.01,1067.85,1082.6 ,1133.09,
  595.05, 599.83, 618.18, 890.66, 919.59, 985.29, 957.9 ,1008.49,1062.06"
log/03.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.05,4.4 ,0.46",213.3906225610052,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 379.46, 372.02, 375.99, 817.09, 826.83, 846.6 , 967.72,1007.42,1059.23,
  460.57, 462.85, 476.12, 960.92, 992.06,1039.88,1096.87,1163.42,1223.08,
  520.56, 526.05, 542.45, 976.24,1011.01,1062.56,1103.08,1174.5 ,1220.77,
  568.28, 575.23, 592.94, 894.69, 934.41, 986.39, 985.78,1059.76,1090.76"
log/04.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.05,6.58,0.6 ",178.52294405302186,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 300.23, 277.59, 260.86, 685.36, 656.29, 622.72, 884.07, 869.22, 837.63,
  363.17, 348.04, 337.25, 829.74, 806.98, 783.16,1009.51, 994.28, 967.32,
  410.59, 399.45, 393.2 , 839.94, 820.52, 811.06, 984.39, 965.89, 954.11,
  443.95, 436.44, 434.  , 729.66, 718.64, 722.08, 836.24, 819.24, 824.65"
log/05.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.12,4.22,0.19",204.33507508703335,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 297.33, 300.65, 314.43, 668.71, 671.57, 687.78, 886.26, 888.09, 901.08,
  385.56, 389.6 , 398.76, 828.03, 850.48, 871.58,1011.26,1044.35,1074.61,
  491.62, 491.59, 495.  , 972.36, 986.22,1000.45,1109.9 ,1129.93,1144.75,
  594.  , 591.94, 592.8 , 972.91, 982.41, 994.08,1030.76,1049.08,1055.98"
log/06.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))"," 0.  ,50.  , 0.09",191.1875056829928,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","308.72,304.13,317.14,693.73,696.44,739.47,890.14,909.45,963.56,323.76,
 329.49,355.06,691.08,717.93,796.78,835.51,892.  ,984.91,344.33,357.11,
 390.99,674.84,725.13,828.64,809.  ,903.09,997.69,374.76,393.65,433.37,
 595.37,672.6 ,791.24,673.91,810.09,894.61"
log/07.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.26,3.81,0.31",197.66922698388447,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","293.16,281.35,276.63,660.05,633.94,610.54,846.43,829.64,805.13,323.87,
 316.48,315.89,696.98,683.5 ,680.  ,844.02,840.18,841.44,392.04,385.8 ,
 386.78,779.89,775.98,781.96,908.44,905.53,926.76,477.91,473.  ,474.91,
 782.69,790.19,809.79,830.13,844.07,877.68"
log/08.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.14,2.1 ,0.  ",274.28911339078155,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 580.73, 612.38, 678.42,1169.42,1237.49,1348.73,1312.91,1428.82,1489.9 ,
  652.03, 685.33, 748.59,1149.2 ,1256.75,1399.66,1244.04,1431.78,1512.84,
  708.61, 743.06, 808.07,1124.74,1256.31,1427.17,1182.54,1414.53,1515.83,
  759.93, 799.7 , 870.11,1089.72,1249.13,1451.04,1119.49,1394.27,1521.24"
log/09.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))"," 0.  ,50.  , 0.06",169.65099218936058,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 "," 269.77, 267.76, 279.97, 612.11, 620.32, 654.99, 810.04, 817.27, 850.41,
  348.69, 351.16, 362.17, 793.03, 804.13, 828.31, 967.03, 968.9 , 999.76,
  444.91, 445.35, 452.9 , 905.43, 904.45, 922.28,1040.47,1041.  ,1068.47,
  534.98, 533.83, 538.89, 879.54, 881.48, 898.79, 949.81, 957.54, 981.76"
log/10.csv,AgentRuleBasedSimpleRL0,brute,"(slice(0.2, 1.0, 0.2), slice(10, 70, 20), slice(0, 0.75, 0.25))","0.08,5.45,0.34",174.95207172125936,"0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,
 0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8","10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.,
 10.,10.,10.,30.,30.,30.,50.,50.,50.,10.,10.,10.,30.,30.,30.,50.,50.,50.","0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,
 0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,
 0.25,0.5 ,0.  ,0.25,0.5 ,0.  ,0.25,0.5 ","248.88,240.17,239.63,504.35,489.77,485.11,601.92,594.75,597.28,323.19,
 316.75,315.73,679.61,674.18,676.15,812.65,811.25,822.  ,396.03,391.52,
 391.59,750.25,750.25,756.27,847.69,849.04,855.26,458.18,454.63,455.66,
 719.08,718.48,724.25,772.24,775.47,779.27"
